date,year,12monthAverageTemperature,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1995-01-01,1995,9.753333333,0.784,0.275,Berlin,Germany,52.24N,13.14E
1996-01-01,1996,7.883166667,-3.727,0.241,Berlin,Germany,52.24N,13.14E
1997-01-01,1997,9.725916667,-2.336,0.288,Berlin,Germany,52.24N,13.14E
1998-01-01,1998,10.05083333,3.252,0.205,Berlin,Germany,52.24N,13.14E
1999-01-01,1999,10.58358333,3.219,0.162,Berlin,Germany,52.24N,13.14E
2000-01-01,2000,10.96366667,1.324,0.31,Berlin,Germany,52.24N,13.14E
2001-01-01,2001,9.69025,1.118,0.202,Berlin,Germany,52.24N,13.14E
2002-01-01,2002,10.26441667,1.994,0.234,Berlin,Germany,52.24N,13.14E
2003-01-01,2003,10.06575,-0.127,0.181,Berlin,Germany,52.24N,13.14E
2004-01-01,2004,9.822583333,-0.991,0.294,Berlin,Germany,52.24N,13.14E
2005-01-01,2005,9.919083333,3.103,0.247,Berlin,Germany,52.24N,13.14E
2006-01-01,2006,10.54533333,-3.395,0.384,Berlin,Germany,52.24N,13.14E
2007-01-01,2007,10.88316667,5.494,0.28,Berlin,Germany,52.24N,13.14E
2008-01-01,2008,10.65775,4.007,0.258,Berlin,Germany,52.24N,13.14E
2009-01-01,2009,10.0625,-1.939,0.285,Berlin,Germany,52.24N,13.14E
2010-01-01,2010,8.606833333,-4.702,0.276,Berlin,Germany,52.24N,13.14E
2011-01-01,2011,10.55641667,1.614,0.352,Berlin,Germany,52.24N,13.14E
2012-01-01,2012,9.964333333,2.17,0.384,Berlin,Germany,52.24N,13.14E
2013-01-01,2013,10.1215,0.113,0.285,Berlin,Germany,52.24N,13.14E
