teams,total_goals,total_matches,total_citizenships,height,weight,pos,bday,sidejobs,importance
12,0,96,2,167,56,defender,1997-04-10,1,36
8,13,201,1,160,53,defender,1997-05-03,1,72
2,55,24,1,167,57,goalkeeper,1997-05-09,1,2
2,0,56,1,169,54,attacker,1997-05-20,1,2
2,0,18,2,157,50,midfielder,1997-07-16,1,2
2,0,16,2,157,50.2,defender,1997-07-16,1,2
10,57,179,1,160,47,midfielder,1997-08-18,1,90
1,20,14,1,167,57,goalkeeper,1997-09-18,1,1
1,0,25,1,180,70,forward,1997-11-07,1,4
2,74,49,1,170,58,goalkeeper,1997-12-13,1,6
2,1,44,1,165,54,defender,1997-12-31,1,2
1,1,31,1,166,58,defender,1998-01-22,1,3
1,137,59,1,168,60,goalkeeper,1998-03-23,1,1
1,1,26,1,170,60,defender,1998-04-07,1,1
1,1,6,1,160,48,midfielder,1998-05-13,1,6
1,3,22,1,160,58,defender,1999-02-23,1,2
1,0,25,1,156,62,midfielder,2000-02-18,1,4
1,0,16,1,158,55,midfielder,2000-03-06,1,1
2,1,9,1,171,62,forward,2000-06-28,1,12
